<Clock>[ms],<Lat>[rad],<Lon>[rad],<Height>[m]
230122,0.600315518,1.230559292,516.06
231122,0.600315518,1.230559278,515.77
232122,0.600315518,1.230559268,515.52
233122,0.600315513,1.230559254,515.28
234122,0.600315518,1.230559244,515.12
235122,0.600315518,1.230559239,514.95
236122,0.600315518,1.230559229,514.84
237122,0.600315518,1.230559224,514.69
238122,0.600315523,1.230559224,514.63
239122,0.600315518,1.230559215,514.51
240122,0.600315518,1.230559205,514.4
241122,0.600315518,1.2305592,514.31
242122,0.600315513,1.230559195,514.22
243122,0.600315518,1.230559191,514.16
244122,0.600315518,1.230559191,514.17
245122,0.600315523,1.230559191,514.16
246122,0.600315523,1.230559191,514.16
247122,0.600315528,1.230559186,514.16
248122,0.600315528,1.230559186,514.17
249122,0.600315528,1.230559186,514.17
250122,0.600315533,1.230559186,514.17
251122,0.600315533,1.230559186,514.18
252122,0.600315533,1.230559186,514.18
253122,0.600315533,1.230559181,514.16
254122,0.600315533,1.230559181,514.16
255122,0.600315533,1.230559181,514.14
256122,0.600315533,1.230559176,514.1
257122,0.600315533,1.230559181,514.09
258122,0.600315533,1.230559181,514.13
259122,0.600315547,1.230559195,514.24
260122,0.600315562,1.230559205,514.33
261122,0.600315571,1.230559215,514.42
262122,0.600315581,1.230559229,514.49
263122,0.600315591,1.230559239,514.56
264122,0.6003156,1.230559244,514.61
265122,0.600315605,1.230559254,514.64
266122,0.60031561,1.230559258,514.67
267122,0.600315615,1.230559263,514.7
268122,0.60031562,1.230559263,514.72
269122,0.600315625,1.230559263,514.74
270122,0.60031563,1.230559263,514.75
271122,0.600315634,1.230559268,514.75
272122,0.600315634,1.230559268,514.77
273122,0.600315639,1.230559263,514.78
274122,0.600315644,1.230559263,514.77
275122,0.600315644,1.230559263,514.77
276122,0.600315644,1.230559263,514.77
277122,0.600315649,1.230559263,514.77
278122,0.600315644,1.230559258,514.77
279122,0.600315649,1.230559258,514.77
280122,0.600315649,1.230559254,514.77
281122,0.600315649,1.230559254,514.77
282122,0.600315649,1.230559254,514.76
283122,0.600315649,1.230559249,514.76
284122,0.600315649,1.230559249,514.76
285122,0.600315649,1.230559249,514.76
286122,0.600315649,1.230559244,514.76
287122,0.600315649,1.230559244,514.76
288122,0.600315649,1.230559244,514.76
289122,0.600315649,1.230559239,514.76
290122,0.600315649,1.230559239,514.76
291122,0.600315649,1.230559234,514.75
292122,0.600315649,1.230559234,514.74
293122,0.600315649,1.230559229,514.73
294122,0.600315649,1.230559229,514.72
295122,0.600315649,1.230559224,514.73
296122,0.600315649,1.230559224,514.73
297122,0.600315649,1.230559224,514.73
298122,0.600315649,1.230559224,514.73
299122,0.600315644,1.23055922,514.73
300122,0.600315644,1.23055922,514.73
301122,0.600315644,1.23055922,514.74
302122,0.600315644,1.230559215,514.75
303122,0.600315644,1.230559215,514.77
304122,0.600315644,1.230559215,514.77
305122,0.600315644,1.230559215,514.78
306122,0.600315644,1.23055921,514.79
307122,0.600315644,1.23055921,514.8
308122,0.600315639,1.23055921,514.81
309122,0.600315639,1.23055921,514.82
310122,0.600315639,1.23055921,514.83
311122,0.600315639,1.23055921,514.84
312122,0.600315634,1.23055921,514.86
313122,0.600315634,1.230559205,514.88
314122,0.600315634,1.23055921,514.9
315122,0.600315634,1.230559205,514.91
316122,0.600315634,1.230559205,514.93
317122,0.600315634,1.230559205,514.94
318122,0.600315634,1.230559205,514.96
319122,0.60031563,1.230559205,514.98
320122,0.60031563,1.230559205,515
321122,0.60031563,1.230559205,515.02
322122,0.60031563,1.230559205,515.05
323122,0.60031563,1.230559205,515.08
324122,0.60031563,1.230559205,515.11
325122,0.60031563,1.230559205,515.14
326122,0.60031563,1.230559205,515.17
327122,0.60031563,1.230559205,515.18
328122,0.600315625,1.230559205,515.21
329122,0.600315625,1.230559205,515.24
330122,0.600315625,1.230559205,515.26
331122,0.600315625,1.23055921,515.28
332122,0.600315625,1.23055921,515.31
333122,0.600315625,1.23055921,515.34
334122,0.600315625,1.23055921,515.37
335122,0.60031562,1.23055921,515.38
336122,0.60031562,1.23055921,515.4
337122,0.600315625,1.23055921,515.42
338122,0.600315625,1.23055921,515.44
339122,0.60031562,1.23055921,515.47
340122,0.60031562,1.23055921,515.49
341122,0.60031562,1.23055921,515.52
342122,0.60031562,1.230559215,515.54
343122,0.60031562,1.230559215,515.55
344122,0.60031562,1.230559215,515.56
345122,0.60031562,1.230559215,515.57
346122,0.60031562,1.23055922,515.59
347122,0.60031562,1.23055922,515.6
348122,0.600315615,1.23055922,515.64
349122,0.600315615,1.23055922,515.66
350122,0.600315615,1.230559224,515.67
351122,0.600315615,1.230559224,515.7
352122,0.600315615,1.230559229,515.72
353122,0.600315615,1.230559229,515.74
354122,0.600315615,1.230559229,515.77
355122,0.600315615,1.230559229,515.79
356122,0.600315615,1.230559234,515.81
357122,0.600315615,1.230559234,515.83
358122,0.600315615,1.230559234,515.84
359122,0.60031562,1.230559234,515.86
360122,0.600315615,1.230559239,515.88
361122,0.600315615,1.230559239,515.91
362122,0.600315615,1.230559244,515.93
363122,0.600315615,1.230559244,515.96
364122,0.600315615,1.230559249,515.98
365122,0.600315615,1.230559249,516.01
366122,0.600315615,1.230559254,516.02
367122,0.600315615,1.230559254,516.05
368122,0.600315615,1.230559258,516.08
369122,0.600315615,1.230559258,516.1
370122,0.600315615,1.230559263,516.11
371122,0.600315615,1.230559268,516.13
372122,0.60031561,1.230559268,516.13
373122,0.60031561,1.230559273,516.15
374122,0.60031561,1.230559273,516.16
375122,0.60031561,1.230559278,516.17
376122,0.60031561,1.230559278,516.18
377122,0.60031561,1.230559283,516.2
378122,0.60031561,1.230559283,516.21
379122,0.60031561,1.230559287,516.22
380122,0.60031561,1.230559287,516.24
381122,0.60031561,1.230559292,516.24
382122,0.60031561,1.230559292,516.24
383122,0.60031561,1.230559292,516.25
386122,0.600315605,1.230559297,516.28
387122,0.600315605,1.230559297,516.29
388122,0.600315605,1.230559302,516.3
389122,0.600315605,1.230559302,516.31
390122,0.600315605,1.230559307,516.31
391122,0.600315605,1.230559307,516.32
392122,0.600315605,1.230559307,516.32
393122,0.600315605,1.230559307,516.31
394122,0.600315605,1.230559312,516.31
395122,0.600315605,1.230559312,516.3
396122,0.600315605,1.230559312,516.3
397122,0.600315605,1.230559312,516.3
398122,0.600315605,1.230559312,516.3
399122,0.600315605,1.230559312,516.3
400122,0.600315605,1.230559317,516.29
401122,0.600315605,1.230559317,516.3
402122,0.6003156,1.230559317,516.3
403122,0.6003156,1.230559317,516.29
404122,0.6003156,1.230559321,516.29
405122,0.6003156,1.230559321,516.28
406122,0.6003156,1.230559321,516.27
407122,0.6003156,1.230559321,516.28
408122,0.6003156,1.230559321,516.27
409122,0.6003156,1.230559326,516.27
410122,0.6003156,1.230559326,516.28
411122,0.6003156,1.230559326,516.28
412122,0.6003156,1.230559326,516.27
413122,0.6003156,1.230559326,516.27
414122,0.6003156,1.230559326,516.27
415122,0.6003156,1.230559331,516.27
416122,0.600315596,1.230559331,516.28
417122,0.600315596,1.230559331,516.27
418122,0.600315596,1.230559331,516.27
419122,0.600315596,1.230559331,516.25
420122,0.600315596,1.230559331,516.25
421122,0.600315596,1.230559331,516.24
422122,0.600315596,1.230559331,516.24
423122,0.600315596,1.230559331,516.23
424122,0.600315591,1.230559331,516.22
425122,0.600315591,1.230559331,516.23
426122,0.600315591,1.230559331,516.22
